data,fechamento,volume
2023-05-04,102174.0,14840000.0
2023-05-03,101797.0,11690000.0
2023-05-02,101927.0,12020000.0
2023-04-28,104432.0,13090000.0
2023-04-27,102923.0,11300000.0
2023-04-26,102312.0,10120000.0
2023-04-25,103220.0,10870000.0
2023-04-24,103947.0,10940000.0
2023-04-20,104367.0,12380000.0
2023-04-19,103913.0,12710000.0
2023-04-18,106163.0,11210000.0
2023-04-17,106016.0,10250000.0
2023-04-14,106279.0,11500000.0
2023-04-13,106458.0,12180000.0
2023-04-12,106890.0,17350000.0
2023-04-11,106214.0,18730000.0
2023-04-10,101847.0,8150000.0
2023-04-06,100822.0,9820000.0
2023-04-05,100978.0,13260000.0
2023-04-04,101869.0,11700000.0
2023-04-03,101506.0,12790000.0
2023-03-31,101882.0,15120000.0
2023-03-30,103713.0,14900000.0
2023-03-29,101793.0,12460000.0
2023-03-28,101185.0,13500000.0
2023-03-27,99670.0,9990000.0
2023-03-24,98829.0,12410000.0
2023-03-23,97926.0,15660000.0
2023-03-22,100221.0,11500000.0
2023-03-21,100998.0,9670000.0
2023-03-20,100923.0,10900000.0
2023-03-17,101982.0,17560000.0
2023-03-16,103435.0,14390000.0
2023-03-15,102675.0,15250000.0
2023-03-14,102932.0,13130000.0
2023-03-13,103121.0,12990000.0
2023-03-10,103618.0,17950000.0
2023-03-09,105071.0,19170000.0
2023-03-08,106540.0,15900000.0
2023-03-07,104228.0,12580000.0
2023-03-06,104700.0,14280000.0
2023-03-03,103866.0,13100000.0
2023-03-02,103326.0,14740000.0
2023-03-01,104385.0,19850000.0
2023-02-28,104932.0,15670000.0
2023-02-27,105711.0,9570000.0
2023-02-24,105798.0,10220000.0
2023-02-23,107593.0,11460000.0
2023-02-22,107152.0,9360000.0
2023-02-17,109177.0,10060000.0
2023-02-16,109941.0,13000000.0
2023-02-15,109600.0,15500000.0
2023-02-14,107849.0,11890000.0
2023-02-13,108836.0,9970000.0
2023-02-10,108078.0,14460000.0
2023-02-09,108008.0,12960000.0
2023-02-08,109951.0,13840000.0
2023-02-07,107830.0,12960000.0
2023-02-06,108722.0,11510000.0
2023-02-03,108523.0,13240000.0
2023-02-02,110141.0,15240000.0
2023-02-01,112074.0,17820000.0
2023-01-31,113431.0,12900000.0
2023-01-30,112273.0,11270000.0
2023-01-27,112316.0,10610000.0
2023-01-26,114178.0,10920000.0
2023-01-25,114270.0,11410000.0
2023-01-24,113028.0,11550000.0
2023-01-23,111737.0,13700000.0
2023-01-20,112041.0,15440000.0
2023-01-19,112922.0,15590000.0
2023-01-18,112228.0,14130000.0
2023-01-17,111439.0,14360000.0
2023-01-16,109213.0,12510000.0
2023-01-13,110916.0,15940000.0
2023-01-12,111850.0,19840000.0
2023-01-11,112517.0,14460000.0
2023-01-10,110817.0,13700000.0
2023-01-09,109130.0,12050000.0
2023-01-06,108964.0,12630000.0
2023-01-05,107641.0,15510000.0
2023-01-04,105334.0,14450000.0
2023-01-03,104166.0,14470000.0
2023-01-02,106376.0,8130000.000000001
2022-12-29,109735.0,13390000.0
2022-12-28,110237.0,11190000.0
2022-12-27,108578.0,11160000.0
2022-12-26,108738.0,5220000.0
2022-12-23,109698.0,12850000.0
2022-12-22,107552.0,11490000.0
2022-12-21,107433.0,17630000.0
2022-12-20,106864.0,19130000.0
2022-12-19,104740.0,16770000.0
2022-12-16,102856.0,18260000.0
2022-12-15,103738.0,15570000.0
2022-12-14,103746.0,24920000.0
2022-12-13,103540.0,17700000.0
2022-12-12,105343.0,15480000.0
2022-12-09,107520.0,10680000.0
2022-12-08,107249.0,14920000.0
2022-12-07,109069.0,13830000.0
2022-12-06,110189.0,13440000.0
2022-12-05,109401.0,12310000.0
2022-12-02,111924.0,15980000.0
2022-12-01,110926.0,15190000.0
2022-11-30,112486.0,19700000.0
2022-11-29,110910.0,14720000.0
2022-11-28,108782.0,11490000.0
2022-11-25,108977.0,12310000.0
2022-11-24,111831.0,10300000.0
2022-11-23,108841.0,13200000.0
2022-11-22,109037.0,15060000.0
2022-11-21,109748.0,16649999.999999998
